Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Entropy,Is Training
510000,0.47830063,2.7276156,446.5,6.317036120979874,3.158518060489937,138.65423521078708,0.35471553,0.026965363,0.00029695046,0.7486001,0.25312355,0.72379297,0.6949767,1.0
520000,0.5640062,2.7621393,454.04347826086956,9.431599328139177,4.715799664069588,111.42301081198578,0.29853192,0.02079821,0.0002968886,0.75978154,0.2590088,0.7235254,0.7180626,1.0
530000,0.7199031,2.7067876,438.60869565217394,9.36061841959045,4.680309209795225,132.30307160779125,0.25536713,0.021955548,0.00029682645,0.7216052,0.2423026,0.73285705,0.7660005,1.0
540000,0.6369025,2.661854,484.3703703703704,7.060068832143493,3.5300344160717465,119.41690950873105,0.43529078,0.016046401,0.00029676472,0.73498714,0.24852309,0.7339351,0.66656804,1.0
550000,0.66968894,2.7282069,417.3529411764706,9.302755754926931,4.6513778774634655,122.13778484807067,0.339292,0.018950036,0.00029670267,0.7174872,0.24448594,0.7380628,0.6982602,1.0
560000,0.7229096,2.7539186,394.18518518518516,10.210207868367434,5.105103934183717,100.6407540050568,0.26735458,0.025994685,0.00029664076,0.7323604,0.25103793,0.7299804,0.7484915,1.0
570000,0.7563509,2.7281563,468.3125,8.635739257931709,4.3178696289658545,125.7691019625403,None,None,None,None,None,None,0.61628807,1.0
580000,0.90850306,2.7565603,466.6,10.431469488143922,5.215734744071961,138.2860537150409,0.2268539,0.020119596,0.0002965782,0.7251569,0.24259801,0.72793514,0.79614526,1.0
590000,0.6500229,2.3455856,479.8,8.952889602451075,4.476444801225537,133.2298189337936,0.24059553,0.024967067,0.00029651663,0.7471086,0.24819009,0.724306,0.7102644,1.0
600000,1.026714,3.1146212,423.8666666666667,10.381692800298334,5.190846400149167,112.55220076441765,0.2522606,0.021776957,0.00029645482,0.7246767,0.24565563,0.7291912,0.6338254,1.0
610000,0.8308895,2.650073,471.3333333333333,9.709042831607487,4.8545214158037435,144.25364000508156,0.27734786,0.022317262,0.00029639286,0.7654402,0.26677796,0.72386414,0.7802474,1.0
620000,0.80420446,2.5155485,412.4782608695652,10.063449552515522,5.031724776257761,109.7497260447902,0.2566843,0.027472233,0.000296331,0.7267492,0.24219158,0.7257784,0.7223121,1.0
630000,0.93741345,2.708155,445.3809523809524,9.43453283874052,4.71726641937026,119.9546239365369,0.22889934,0.022855768,0.00029626905,0.698824,0.23114042,0.7348414,0.6966725,1.0
640000,0.70530397,2.3694234,437.3225806451613,8.895259327689807,4.4476296638449035,122.38291782845432,0.23988079,0.020112198,0.00029620732,0.7639592,0.26534575,0.7218076,0.8258518,1.0
